n,N,elevation,improved_water,lst_day,ndvi,open_def,prec,rel_humidity,soil_moisture,soil_pH,soil_temp,elevation_cat,improved_water_cat,lst_day_cat,ndvi_cat,open_def_cat,prec_cat,rel_humidity_cat,soil_moisture_cat,soil_pH_cat,soil_temp_cat
3,30,1798.32165527344,32.6621971130371,24.3038673400879,0.79128634929657,0.964562475681305,6.86639881134033,52.5154762268067,26.9937248229981,52.5963935852051,19.3340759277344,"(1.56e+03,1.84e+03]","[min,68.5]","[min,26.3]","(0.678,max]","(0.928,2.19]","(5.14,max]","[min,55.7]","(23.8,max]","[min,55.4]","[min,19.6]"
13,31,1816.501953125,32.0167655944824,25.4842586517334,0.749545454978943,1.02376961708069,7.08110189437866,50.6446685791016,26.9937248229981,53.9006233215332,19.3340759277344,"(1.56e+03,1.84e+03]","[min,68.5]","[min,26.3]","(0.678,max]","(0.928,2.19]","(5.14,max]","[min,55.7]","(23.8,max]","[min,55.4]","[min,19.6]"
0,30,1706.22192382813,49.6346740722656,25.2978134155273,0.75860607624054,0.685067713260651,7.16946506500244,52.5154762268067,26.9937248229981,53.1967811584473,19.3340759277344,"(1.56e+03,1.84e+03]","[min,68.5]","[min,26.3]","(0.678,max]","[min,0.723]","(5.14,max]","[min,55.7]","(23.8,max]","[min,55.4]","[min,19.6]"
0,30,1798.90649414063,35.9960098266602,24.4210147857666,0.762906074523926,0.692055583000183,6.92275857925415,52.5154762268067,26.9937248229981,53.7071800231934,19.3340759277344,"(1.56e+03,1.84e+03]","[min,68.5]","[min,26.3]","(0.678,max]","[min,0.723]","(5.14,max]","[min,55.7]","(23.8,max]","[min,55.4]","[min,19.6]"
3,30,1615.82299804688,54.5244331359863,23.7906246185303,0.844704568386078,0.640558063983917,7.09228897094727,52.5154762268067,26.9937248229981,53,19.3340759277344,"(1.56e+03,1.84e+03]","[min,68.5]","[min,26.3]","(0.678,max]","[min,0.723]","(5.14,max]","[min,55.7]","(23.8,max]","[min,55.4]","[min,19.6]"
4,30,1706.22192382813,49.6346740722656,25.2978134155273,0.75860607624054,0.685067713260651,7.16946506500244,52.5154762268067,26.9937248229981,53.1967811584473,19.3340759277344,"(1.56e+03,1.84e+03]","[min,68.5]","[min,26.3]","(0.678,max]","[min,0.723]","(5.14,max]","[min,55.7]","(23.8,max]","[min,55.4]","[min,19.6]"
3,30,1706.22192382813,49.6346740722656,25.2978134155273,0.75860607624054,0.685067713260651,7.16946506500244,52.5154762268067,26.9937248229981,53.1967811584473,19.3340759277344,"(1.56e+03,1.84e+03]","[min,68.5]","[min,26.3]","(0.678,max]","[min,0.723]","(5.14,max]","[min,55.7]","(23.8,max]","[min,55.4]","[min,19.6]"
0,30,1958.65405273438,42.2768363952637,25.1664066314697,0.767251491546631,1.00999009609222,5.88997745513916,52.5154762268067,19.5466957092285,53.8038749694824,19.3196411132813,"(1.84e+03,max]","[min,68.5]","[min,26.3]","(0.678,max]","(0.928,2.19]","(5.14,max]","[min,55.7]","(18.2,20.3]","[min,55.4]","[min,19.6]"
1,30,1905.49841308594,28.7720985412598,22.8572654724121,0.817601501941681,1.17694175243378,5.98199701309204,52.5154762268067,19.5466957092285,52.6097717285156,19.3196411132813,"(1.84e+03,max]","[min,68.5]","[min,26.3]","(0.678,max]","(0.928,2.19]","(5.14,max]","[min,55.7]","(18.2,20.3]","[min,55.4]","[min,19.6]"
0,30,1905.49841308594,28.7720985412598,22.8572654724121,0.817601501941681,1.17694175243378,5.98199701309204,52.5154762268067,19.5466957092285,52.6097717285156,19.3196411132813,"(1.84e+03,max]","[min,68.5]","[min,26.3]","(0.678,max]","(0.928,2.19]","(5.14,max]","[min,55.7]","(18.2,20.3]","[min,55.4]","[min,19.6]"
0,30,1980.9033203125,59.9893226623535,25.6006240844727,0.725268185138702,0.83890426158905,5.74636840820313,50.9731369018555,19.5466957092285,54.9046173095703,19.3196411132813,"(1.84e+03,max]","[min,68.5]","[min,26.3]","(0.678,max]","(0.723,0.928]","(5.14,max]","[min,55.7]","(18.2,20.3]","[min,55.4]","[min,19.6]"
0,30,2129.447265625,74.4665145874023,26.0882034301758,0.64941817522049,0.549915015697479,4.28930330276489,50.9731369018555,21.7796955108643,56,18.4355773925781,"(1.84e+03,max]","(68.5,86.9]","[min,26.3]","(0.613,0.678]","[min,0.723]","(3.81,5.14]","[min,55.7]","(20.3,23.8]","(55.4,58.3]","[min,19.6]"
0,30,2129.447265625,74.4665145874023,26.0882034301758,0.64941817522049,0.549915015697479,4.28930330276489,50.9731369018555,21.7796955108643,56,18.4355773925781,"(1.84e+03,max]","(68.5,86.9]","[min,26.3]","(0.613,0.678]","[min,0.723]","(3.81,5.14]","[min,55.7]","(20.3,23.8]","(55.4,58.3]","[min,19.6]"
0,30,1980.9033203125,59.9893226623535,25.6006240844727,0.725268185138702,0.83890426158905,5.74636840820313,50.9731369018555,19.5466957092285,54.9046173095703,19.3196411132813,"(1.84e+03,max]","[min,68.5]","[min,26.3]","(0.678,max]","(0.723,0.928]","(5.14,max]","[min,55.7]","(18.2,20.3]","[min,55.4]","[min,19.6]"
0,30,1718.8154296875,71.1368713378906,26.7517185211182,0.66465151309967,1.24335122108459,5.60673952102661,48.6026153564453,24.6384162902832,55,20.1237487792969,"(1.56e+03,1.84e+03]","(68.5,86.9]","(26.3,28.3]","(0.613,0.678]","(0.928,2.19]","(5.14,max]","[min,55.7]","(23.8,max]","[min,55.4]","(19.6,21.1]"
0,30,1691.57568359375,75.5783081054688,27.1071090698242,0.649884879589081,1.59112024307251,5.43404531478882,48.6026153564453,24.6384162902832,55.8032188415527,20.1237487792969,"(1.56e+03,1.84e+03]","(68.5,86.9]","(26.3,28.3]","(0.613,0.678]","(0.928,2.19]","(5.14,max]","[min,55.7]","(23.8,max]","(55.4,58.3]","(19.6,21.1]"
0,30,1951.60278320313,68.583625793457,27.3709373474121,0.624340891838074,0.773839294910431,4.73699951171875,50.3118629455566,21.3725891113281,56.8058967590332,19.2195434570313,"(1.84e+03,max]","(68.5,86.9]","(26.3,28.3]","(0.613,0.678]","(0.723,0.928]","(3.81,5.14]","[min,55.7]","(20.3,23.8]","(55.4,58.3]","[min,19.6]"
