cluster_number,dpt1,literate_women,pn3,vacc_card,lst_day,night_light,prec,travel_hfa_malaria_atlas,travel_time_cities,prop,N,n,lng,lat
945,0.824077039957047,0.951863661408424,0.813790231943131,0.68033204972744,29.3094482421875,2.36183378100395,3.95564550161362,1.39321477711201,3.06831380724907,100,6,6,34.894308,0.566662
946,0.824077039957047,0.951863661408424,0.813790231943131,0.68033204972744,29.3094482421875,2.36183378100395,3.95564550161362,1.39321477711201,3.06831380724907,100,2,2,35.242494,0.541299
947,0.826345145702362,0.955945134162903,0.81512588262558,0.684267401695252,29.6339054107666,1.93016993999481,4.24525356292725,1.47371125221252,2.93764066696167,100,2,2,35.256123,0.522965
948,0.826345145702362,0.955945134162903,0.81512588262558,0.684267401695252,29.6339054107666,1.93016993999481,4.24525356292725,1.47371125221252,2.93764066696167,100,4,4,35.227736,0.564043
950,0.832929998636246,0.954851478338242,0.814693763852119,0.718725696206093,28.5622806549072,0.23928682692349,4.01687544584274,3.75470131635666,18.1011996269226,100,1,1,35.251127,0.554853
951,0.838416486978531,0.95409569144249,0.807446628808975,0.720663666725159,28.1148042678833,0.0879669114947319,4.42249464988709,2.65853357315064,18.908465385437,100,4,4,35.261443,0.62801
952,0.831315696239471,0.949863225221634,0.786720156669617,0.710814952850342,25.9124507904053,0.153509713709354,4.45284223556519,4.06327521800995,29.5304222106934,50,2,1,35.100812,0.587306
953,0.833360701799393,0.923128426074982,0.783051788806915,0.708569243550301,27.6576170921326,0.105579263530672,4.11523222923279,7.78244632482529,39.0233268737793,66.6666666666667,3,2,35.502062,0.675338
955,0.833233326673508,0.948477923870087,0.797844678163528,0.71479044854641,26.428789138794,0.123143477365375,4.71048140525818,4.39741456508636,27.2421011924744,100,1,1,35.509803,0.653178
956,0.833360701799393,0.923128426074982,0.783051788806915,0.708569243550301,27.6576170921326,0.105579263530672,4.11523222923279,7.78244632482529,39.0233268737793,100,1,1,35.494137,0.667673
957,0.834873994191488,0.948526442050934,0.807394444942474,0.717577358086904,26.8655014038086,0.0932130143046379,4.47005208333333,4.07848270734151,20.44482421875,100,2,2,35.53288,0.672524
958,0.832244177659353,0.931454300880432,0.780327578385671,0.714200139045715,25.1932875315348,0.076079777131478,4.35932906468709,7.71935375531515,51.1310539245606,100,1,1,35.457857,0.646781
