vars,CPO
elevation_cat|improved_water_cat|soil_moisture_cat|soil_temp_cat,18.5046925778291
elevation_cat|improved_water_cat|soil_pH_cat|soil_temp_cat,18.4435591246638
elevation_cat|lst_day_cat|ndvi_cat|open_def_cat,18.3583654808098
elevation_cat|lst_day_cat|ndvi_cat|prec_cat,18.436388842409
elevation_cat|lst_day_cat|ndvi_cat|rel_humidity_cat,18.3471495890985
elevation_cat|lst_day_cat|ndvi_cat|soil_moisture_cat,18.3184095555667
elevation_cat|lst_day_cat|ndvi_cat|soil_pH_cat,18.2666575674229
elevation_cat|lst_day_cat|ndvi_cat|soil_temp_cat,18.4373945446288
elevation_cat|lst_day_cat|open_def_cat|prec_cat,18.4270036731322
elevation_cat|lst_day_cat|open_def_cat|rel_humidity_cat,18.2551460131988
elevation_cat|lst_day_cat|open_def_cat|soil_moisture_cat,18.3140817924851
elevation_cat|lst_day_cat|open_def_cat|soil_pH_cat,18.4042590633623
elevation_cat|lst_day_cat|open_def_cat|soil_temp_cat,18.5043435479367
elevation_cat|lst_day_cat|prec_cat|rel_humidity_cat,18.3954971300351
elevation_cat|lst_day_cat|prec_cat|soil_moisture_cat,18.3446295998018
elevation_cat|lst_day_cat|prec_cat|soil_pH_cat,18.2936637983145
elevation_cat|lst_day_cat|prec_cat|soil_temp_cat,18.4783846669733
elevation_cat|lst_day_cat|rel_humidity_cat|soil_moisture_cat,18.411286943539
elevation_cat|lst_day_cat|rel_humidity_cat|soil_pH_cat,18.2966165968582
elevation_cat|lst_day_cat|rel_humidity_cat|soil_temp_cat,18.4680868909622
elevation_cat|lst_day_cat|soil_moisture_cat|soil_pH_cat,18.3049516547401
elevation_cat|lst_day_cat|soil_moisture_cat|soil_temp_cat,18.6240311979917
elevation_cat|lst_day_cat|soil_pH_cat|soil_temp_cat,18.4377036252157
elevation_cat|ndvi_cat|open_def_cat|prec_cat,18.5623418902039
elevation_cat|ndvi_cat|open_def_cat|rel_humidity_cat,18.349579038164
elevation_cat|ndvi_cat|open_def_cat|soil_moisture_cat,18.3484471775452
elevation_cat|ndvi_cat|open_def_cat|soil_pH_cat,18.3456257610662
elevation_cat|ndvi_cat|open_def_cat|soil_temp_cat,18.4709313501385
elevation_cat|ndvi_cat|prec_cat|rel_humidity_cat,18.5276562088889
elevation_cat|ndvi_cat|prec_cat|soil_moisture_cat,18.5745039884768
elevation_cat|ndvi_cat|prec_cat|soil_pH_cat,18.6056528470399
elevation_cat|ndvi_cat|prec_cat|soil_temp_cat,18.3650721304937
elevation_cat|ndvi_cat|rel_humidity_cat|soil_moisture_cat,18.3366045368556
elevation_cat|ndvi_cat|rel_humidity_cat|soil_pH_cat,18.3036384014971
elevation_cat|ndvi_cat|rel_humidity_cat|soil_temp_cat,18.3507769597966
elevation_cat|ndvi_cat|soil_moisture_cat|soil_pH_cat,18.3380950145153
elevation_cat|ndvi_cat|soil_moisture_cat|soil_temp_cat,18.5357025123634
elevation_cat|ndvi_cat|soil_pH_cat|soil_temp_cat,18.4727332804847
elevation_cat|open_def_cat|prec_cat|rel_humidity_cat,18.4695736966529
