school_id,lng,lat,school,county,subcounty,n,N,prev
4020242,37.3313731,-1.4620365,Isooni,Machakos,Kathiani,0,32,0
4020243,37.3067057,-1.4567203,Kwa Ngolia,Machakos,Kathiani,0,32,0
4020244,37.2856698,-1.4540438,Mang Aani,Machakos,Kathiani,0,32,0
4020311,37.33026,-1.6225404,Kyangala,Machakos,Machakos Town,0,22,0
4020312,37.3270078,-1.6054962,Kalama,Machakos,Machakos Town,0,22,0
4020313,37.3127589,-1.579729,Makaveti,Machakos,Machakos Town,0,22,0
4020314,37.3076754,-1.6039305,Mbukuni (Kalama),Machakos,Machakos Town,0,22,0
4020321,37.2991739,-1.70173,Kavyuni,Machakos,Machakos Town,0,22,0
4020322,37.2432987,-1.5790792,Katumani,Machakos,Machakos Town,0,22,0
4020323,37.39199,-1.6717506,Mbuani,Machakos,Machakos Town,0,22,0
4020324,37.3633166,-1.6899001,Kombuni,Machakos,Machakos Town,1,22,0.0454545454545455
4020331,37.2698633,-1.5237183,Machakos,Machakos,Machakos Town,0,22,0
4020332,37.2731873,-1.5185958,Baptist,Machakos,Machakos Town,0,22,0
4020333,37.2630592,-1.528199,Muthini,Machakos,Machakos Town,0,22,0
4020334,37.2640735,-1.5230105,St Marys Boys,Machakos,Machakos Town,0,21,0
4020341,37.2292038,-1.5660025,Mikuyu,Machakos,Machakos Town,0,20,0
4020342,37.2073784,-1.5783528,Vota,Machakos,Machakos Town,0,20,0
4020343,37.2004,-1.5439933,Katelembo,Machakos,Machakos Town,0,22,0
4020344,37.2117685,-1.5161865,Katheka Kai,Machakos,Machakos Town,0,22,0
4020351,37.2638574,-1.5031695,Mumbuni,Machakos,Machakos Town,0,22,0
4020352,37.2539003,-1.4982078,Manza,Machakos,Machakos Town,0,22,0
4020353,37.239925,-1.5024336,Miwongoni,Machakos,Machakos Town,0,22,0
4020354,37.2777121,-1.4969598,Ikokani,Machakos,Machakos Town,0,22,0
4020361,37.2505429,-1.4531722,Mutituni,Machakos,Machakos Town,0,22,0
4020362,37.2510785,-1.4253412,Ngelani,Machakos,Machakos Town,0,21,0
4020363,37.2519983,-1.4647283,Kyanguli,Machakos,Machakos Town,0,21,0
4020364,37.2246994,-1.403868,Kisekini (Mutituni),Machakos,Machakos Town,0,23,0
4020371,37.3225024,-1.533469,Kisekini,Machakos,Machakos Town,0,22,0
4020372,37.3083087,-1.5374816,Kivandini,Machakos,Machakos Town,0,22,0
4020373,37.2928149,-1.5416691,Mwanyani,Machakos,Machakos Town,0,22,0
4020374,37.33699,-1.5223467,Kaseve,Machakos,Machakos Town,0,22,0
4020411,37.5438388,-1.038214,Kwa Kalunde,Machakos,Masinga,0,30,0
4020412,37.5456505,-1.0732933,Ikaatini,Machakos,Masinga,0,32,0
4020413,37.5303615,-1.0271365,Kwamulinge,Machakos,Masinga,0,32,0
4020421,37.7304266,-0.8436198,Kithuia,Machakos,Masinga,0,31,0
4020422,37.677182,-0.9310397,Utithini,Machakos,Masinga,0,32,0
4020423,37.7649574,-0.9995042,Kaliluni,Machakos,Masinga,0,31,0
4020431,37.6537723,-0.9701334,Musumaa,Machakos,Masinga,1,32,0.03125
4020432,37.6541877,-0.8837788,Kyangosi,Machakos,Masinga,0,31,0
4020433,37.5545394,-0.9229802,Katulye,Machakos,Masinga,0,32,0
4020441,37.4019129,-0.979713,Kwamboo,Machakos,Masinga,0,32,0
4020442,37.4264134,-1.0182361,Iiani (Muthesya),Machakos,Masinga,0,32,0
4020443,37.3794543,-0.9871345,Muthesya,Machakos,Masinga,0,32,0
4020451,37.3515248,-0.9834507,Kawethei,Machakos,Masinga,0,32,0
4020452,37.2564215,-0.852969,Matema,Machakos,Masinga,0,32,0
