county,subcounty,ward,school,school_id,lng,lat,n,N,prev
Machakos,Machakos Town,Kalama,Makaveti,4020313,37.3127589,-1.579729,0,22,0
Machakos,Machakos Town,Kalama,Mbukuni (Kalama),4020314,37.3076754,-1.6039305,0,22,0
Machakos,Machakos Town,Kola,Kavyuni,4020321,37.2991739,-1.70173,0,22,0
Machakos,Machakos Town,Kola,Katumani,4020322,37.2432987,-1.5790792,1,22,5
Machakos,Machakos Town,Kola,Mbuani,4020323,37.39199,-1.6717506,1,22,5
Machakos,Machakos Town,Kola,Kombuni,4020324,37.3633166,-1.6899001,1,22,5
Machakos,Machakos Town,Machakos Central,Machakos,4020331,37.2698633,-1.5237183,0,22,0
Machakos,Machakos Town,Machakos Central,Baptist,4020332,37.2731873,-1.5185958,0,22,0
Machakos,Machakos Town,Machakos Central,Muthini,4020333,37.2630592,-1.528199,0,22,0
Machakos,Machakos Town,Machakos Central,St Marys Boys,4020334,37.2640735,-1.5230105,1,21,5
Machakos,Machakos Town,Mua Katheka Kai,Mikuyu,4020341,37.2292038,-1.5660025,0,20,0
Machakos,Machakos Town,Mua Katheka Kai,Vota,4020342,37.2073784,-1.5783528,0,20,0
Machakos,Machakos Town,Mua Katheka Kai,Katelembo,4020343,37.2004,-1.5439933,0,22,0
Machakos,Machakos Town,Mua Katheka Kai,Katheka Kai,4020344,37.2117685,-1.5161865,0,22,0
Machakos,Machakos Town,Mumbuni North,Mumbuni,4020351,37.2638574,-1.5031695,0,22,0
Machakos,Machakos Town,Mumbuni North,Manza,4020352,37.2539003,-1.4982078,1,22,5
Machakos,Machakos Town,Mumbuni North,Miwongoni,4020353,37.239925,-1.5024336,2,22,9
Machakos,Machakos Town,Mumbuni North,Ikokani,4020354,37.2777121,-1.4969598,0,22,0
Machakos,Machakos Town,Mutituni Ngelani,Mutituni,4020361,37.2505429,-1.4531722,0,22,0
Machakos,Machakos Town,Mutituni Ngelani,Ngelani,4020362,37.2510785,-1.4253412,0,21,0
Machakos,Machakos Town,Mutituni Ngelani,Kyanguli,4020363,37.2519983,-1.4647283,0,21,0
Machakos,Machakos Town,Mutituni Ngelani,Kisekini (Mutituni),4020364,37.2246994,-1.403868,0,23,0
Machakos,Machakos Town,Muvuti/Kiima-Kimwe,Kisekini,4020371,37.3225024,-1.533469,0,22,0
Machakos,Machakos Town,Muvuti/Kiima-Kimwe,Kivandini,4020372,37.3083087,-1.5374816,0,22,0
Machakos,Machakos Town,Muvuti/Kiima-Kimwe,Mwanyani,4020373,37.2928149,-1.5416691,0,22,0
Machakos,Machakos Town,Muvuti/Kiima-Kimwe,Kaseve,4020374,37.33699,-1.5223467,0,22,0
Machakos,Masinga,Ekalakala,Kwa Kalunde,4020411,37.5438388,-1.038214,0,30,0
Machakos,Masinga,Ekalakala,Ikaatini,4020412,37.5456505,-1.0732933,0,32,0
Machakos,Masinga,Ekalakala,Kwamulinge,4020413,37.5303615,-1.0271365,0,32,0
Machakos,Masinga,Kivaa,Kithuia,4020421,37.7304266,-0.8436198,0,31,0
Machakos,Masinga,Kivaa,Utithini,4020422,37.677182,-0.9310397,0,32,0
Machakos,Masinga,Kivaa,Kaliluni,4020423,37.7649574,-0.9995042,2,31,6
Machakos,Masinga,Masinga Central,Musumaa,4020431,37.6537723,-0.9701334,5,32,16
Machakos,Masinga,Masinga Central,Kyangosi,4020432,37.6541877,-0.8837788,0,31,0
Machakos,Masinga,Masinga Central,Katulye,4020433,37.5545394,-0.9229802,0,32,0
Machakos,Masinga,Muthesya,Kwamboo,4020441,37.4019129,-0.979713,1,32,3
Machakos,Masinga,Muthesya,Iiani (Muthesya),4020442,37.4264134,-1.0182361,0,32,0
Machakos,Masinga,Muthesya,Muthesya,4020443,37.3794543,-0.9871345,1,32,3
Machakos,Masinga,Ndithini,Kawethei,4020451,37.3515248,-0.9834507,0,32,0
Machakos,Masinga,Ndithini,Matema,4020452,37.2564215,-0.852969,1,32,3
Machakos,Masinga,Ndithini,Tito,4020453,37.2468968,-0.8624478,2,32,6
Machakos,Matungulu,Kyleleni,Kyeleni Primary,4020511,36.3630537,0.0346217,0,32,0
Machakos,Matungulu,Kyeleni,Ngalalya,4020512,37.2113584,-1.2267718,0,32,0
Machakos,Matungulu,Kyeleni,Kiatineni,4020513,37.2327004,-1.1027934,0,33,0
Machakos,Matungulu,Matungulu East,Katuluni,4020521,37.3415832,-1.2171245,0,32,0
Machakos,Matungulu,Matungulu East,Kantafu,4020522,37.177514,-1.2754001,0,32,0
Machakos,Matungulu,Matungulu East,Kikaatini,4020523,37.3097788,-1.2509367,0,32,0
Machakos,Matungulu,Matungulu North,Donyo Sabuk,4020531,37.2532323,-1.0857964,0,32,0
Machakos,Matungulu,Matungulu North,Kithuiani,4020532,37.3024981,-1.1507415,0,32,0
Machakos,Matungulu,Matungulu North,Uamani Pr,4020533,37.3465873,-1.2529146,1,33,3
Machakos,Matungulu,Matungulu West,Kyumbuni,4020541,37.2655816,-1.1764641,0,32,0
Machakos,Matungulu,Matungulu West,Kalandini,4020542,37.2965342,-1.2257468,0,33,0
Machakos,Matungulu,Matungulu West,Ndovoini,4020543,37.1941396,-1.2282553,0,32,0
Machakos,Matungulu,Tala,Ngomeni,4020551,37.2918133,-1.2884083,0,30,0
Machakos,Matungulu,Tala,Kyamulendu,4020552,37.3253401,-1.2764814,0,31,0
Machakos,Matungulu,Tala,Katine Sa,4020553,37.3040996,-1.2839231,0,31,0
Machakos,Mavoko,Athi River,Athi River,4020611,36.9790286,-1.4593068,0,30,0
Machakos,Mavoko,Athi River,Kanaani,4020612,36.9888591,-1.4564222,0,30,0
Machakos,Mavoko,Athi River,Kwa Mangeli,4020614,36.9772575,-1.4455932,2,30,7
Machakos,Mavoko,Kinanie,Ivovoani,4020621,37.199525,-1.3668259,0,22,0
Machakos,Mavoko,Kinanie,Kaiani,4020622,37.1738388,-1.4829324,0,22,0
Machakos,Mavoko,Kinanie,Kyumbi,4020623,37.1261957,-1.5577738,0,21,0
Machakos,Mavoko,Kinanie,Wathia,4020624,37.1778054,-1.4470797,0,22,0
Machakos,Mavoko,Muthwani,Ngalalya (Muthwani),4020631,37.0849774,-1.3090415,0,32,0
Machakos,Mavoko,Muthwani,Nzoiani,4020632,37.1097332,-1.4023971,0,32,0
Machakos,Mavoko,Muthwani,Muthwani,4020633,37.171975,-1.4119317,0,32,0
Machakos,Mavoko,Muthwani,Kavomboni,4020634,37.1108386,-1.3602972,0,15,0
Machakos,Mavoko,Syokimau/ Mulolongo,Ngwata Primary,4020641,36.948499,-1.3915451,3,32,9
Machakos,Mavoko,Syokimau/ Mulolongo,Mlolongo Primary,4020642,36.9465318,-1.4083354,1,32,3
Machakos,Mavoko,Syokimau/ Mulolongo,Mavoko Snp,4020643,36.9452745,-1.3745662,0,10,0
Machakos,Mavoko,Syokimau/ Mulolongo,St. Francis Of Assisi Ac.,4020644,36.9424403,-1.3946105,0,19,0
Machakos,Mwala,Kibauni,Ngumbau,4020711,37.6912957,-1.5364907,0,32,0
Machakos,Mwala,Kibauni,Matulani,4020712,37.7127233,-1.5560733,0,32,0
Machakos,Mwala,Makutano/ Mwala,Kyamutwii,4020721,37.4824037,-1.3803515,0,32,0
Machakos,Mwala,Makutano/ Mwala,Myanyani H.g.m,4020722,37.4664008,-1.2931797,0,32,0
Machakos,Mwala,Makutano/ Mwala,Musaalani,4020723,37.4610715,-1.3119295,0,32,0
Machakos,Mwala,Masii,Nguluni,4020731,37.4276095,-1.5229633,3,32,9
Machakos,Mwala,Masii,Kathuki Aic,4020732,37.3707052,-1.4444026,0,28,0
Machakos,Mwala,Masii,Kikelenzu,4020733,37.4301192,-1.4904573,0,32,0
Machakos,Mwala,Mbiuni,Aic Kimuuni,4020741,37.4533354,-1.2470654,0,32,0
Machakos,Mwala,Mbiuni,Kitwamba,4020742,37.465381,-1.2478519,0,32,0
Machakos,Mwala,Muthetheni,Kaliambeu,4020751,37.508246,-1.4468746,0,32,0
Machakos,Mwala,Muthetheni,Ngamba,4020752,37.5263941,-1.4641335,0,32,0
Machakos,Mwala,Wamunyu,Wakaela,4020761,37.6032419,-1.3864325,0,32,0
Machakos,Mwala,Wamunyu,Ngomano,4020762,37.6444153,-1.4573388,0,29,0
Machakos,Mwala,Wamunyu,Kyamatula,4020763,37.5814422,-1.4839196,1,32,3
Machakos,Yatta,Ikombe,Uvaini Aic,4020811,37.6081304,-1.272481,0,31,0
Machakos,Yatta,Ikombe,Muusini,4020813,37.6764877,-1.4279542,0,30,0
Machakos,Yatta,Katangi,Katangi,4020821,37.6968355,-1.4104538,0,30,0
Machakos,Yatta,Katangi,Mombuni,4020822,37.7381464,-1.3554642,0,32,0
Machakos,Yatta,Katangi,Yumbuni,4020823,37.732209,-1.4691718,0,30,0
Machakos,Yatta,Kithimani,Nguumo (Kithimani),4020831,37.4201006,-1.1687652,0,32,0
Machakos,Yatta,Kithimani,Kionyweni,4020832,37.6254816,-1.251378,0,32,0
Machakos,Yatta,Kithimani,Kauukuni,4020833,37.4877804,-1.1454464,0,32,0
Machakos,Yatta,Matuu,Kautulini,4020841,37.5281412,-1.2043182,0,32,0
Machakos,Yatta,Matuu,Masewani,4020842,37.5149049,-1.1083026,0,32,0
Machakos,Yatta,Matuu,Matuu Hgm,4020843,37.5428051,-1.1465362,0,32,0
Machakos,Yatta,Ndalani,Ndalani,4020851,37.4871823,-1.0974158,0,32,0
Machakos,Yatta,Ndalani,Matangini (Ndalani),4020852,37.4360112,-1.0406212,0,32,0
Machakos,Yatta,Ndalani,Mukuyuni,4020853,37.4244856,-1.0532787,0,32,0
Embu,Manyatta,Ruguru-Ngandori,Kairuri,4030111,37.4681198,-0.4265965,2,32,6
Embu,Manyatta,Ruguru-Ngandori,Gaciigi,4030112,37.4767639,-0.3563341,1,32,3
Embu,Manyatta,Ruguru-Ngandori,Kiriari,4030113,37.4751814,-0.3949538,0,32,0
Embu,Manyatta,Kithimu,St Almano,4030121,37.5804492,-0.517273,0,32,0
Embu,Manyatta,Kithimu,Kithimu,4030122,37.5254439,-0.5058448,1,32,3
Embu,Manyatta,Nginda,Muvandori,4030131,37.4500904,-0.4091392,0,31,0
Embu,Manyatta,Mbeti North,Kamiu,4030141,37.4673219,-0.5390042,0,32,0
Embu,Manyatta,Mbeti North,St Peters Gatituri,4030142,37.4705162,-0.5109427,0,32,0
Embu,Manyatta,Mbeti North,Itabua,4030143,37.5032276,-0.5371492,0,32,0
Embu,Manyatta,Kirimari,Njukiri,4030151,37.4468713,-0.5120961,1,30,3
Embu,Manyatta,Kirimari,County,4030152,37.4520611,-0.5445256,4,30,13
Embu,Manyatta,Kirimari,St Michael,4030153,37.4527472,-0.5345755,0,30,0
Embu,Manyatta,Gaturi South,St Peters Runganga,4030161,37.4778644,-0.4560552,0,32,0
Embu,Manyatta,Gaturi South,Nembure,4030162,37.5201908,-0.4778553,0,32,0
Embu,Runyenjes,Gaturi North,Ccm Kevote,4030211,37.5294119,-0.4400671,0,32,0
Embu,Runyenjes,Gaturi North,D.e.b Kavutiri,4030212,37.5023105,-0.4148964,0,31,0
Embu,Runyenjes,Gaturi North,Kianjuki,4030213,37.506758,-0.4440781,0,32,0
Embu,Runyenjes,Kagaari South,Karumiri,4030221,37.6301791,-0.4675646,0,32,0
Embu,Runyenjes,Kagaari South,Kathambaiconi,4030223,37.6468115,-0.4707399,0,31,0
Embu,Runyenjes,Central,Ack Kagaari,4030231,37.5702697,-0.413582,2,32,6
Embu,Runyenjes,Central,St Pauls Gatinda,4030232,37.5845066,-0.4534883,0,30,0
